id,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,classe,desemprego,Pop_ativa_est_2009,estimat_pop_desemprego
1406,1,RIO GRANDE DO SUL,Igrejinha,2010,690711.4375,33551,20586.91015625,2,5.1,21976,1121
4252,2,RIO GRANDE DO SUL,Três Coroas,2010,410240.34375,24786,16551.2890625,2,4.8,17350,833
998,3,RIO GRANDE DO SUL,Canoas,2010,16444476,332056,49523.19921875,3,4.6,202554,9317
4292,4,RIO GRANDE DO SUL,Sapucaia do Sul,2010,1767158.5,126316,13989.98046875,2,4.5,88421,3979
991,5,RIO GRANDE DO SUL,São Leopoldo,2010,3302153,211663,15600.99023438,2,4.9,138639,6793
4084,6,RIO GRANDE DO SUL,Cristal do Sul,2010,26768.12109375,3099,8637.66015625,1,4.9,1890,93
5102,7,RIO GRANDE DO SUL,Taquaruçu do Sul,2010,35305.75390625,2925,12070.33984375,2,5.3,2179,115
156,8,SÃO PAULO,Sertãozinho,2010,4155643.5,110999,37438.5703125,3,7,72704,5089
969,9,RIO GRANDE DO SUL,Ametista do Sul,2010,53460.91015625,8538,6261.52978516,1,4.6,5208,240
3062,10,RIO GRANDE DO SUL,Vicente Dutra,2010,57206.62890625,5587,10239.24023438,2,5.3,4162,221
3688,11,RIO GRANDE DO SUL,Miraguaí,2010,48548.41015625,4986,9736.95019531,2,5.6,3266,183
2428,12,RIO GRANDE DO SUL,Vista Gaúcha,2010,37875.15625,2804,13507.54980469,2,5,1837,92
1575,13,RIO GRANDE DO SUL,Pinheirinho do Vale,2010,49996.953125,4635,10786.83007812,2,4.3,3245,140
4665,14,RIO GRANDE DO SUL,Três Arroios,2010,34917.92578125,3079,11340.66992188,2,5,2017,101
1812,15,SÃO PAULO,Jardinópolis,2010,487728.96875,37471,13016.16992188,2,7.5,22857,1714
2448,16,RIO GRANDE DO SUL,Severiano de Almeida,2010,52835.09765625,3966,13322.00976562,2,3.4,2598,88
512,17,RIO GRANDE DO SUL,Mariano Moro,2010,23514.30859375,2304,10205.86035156,2,4.6,1509,69
