Ano,Tipo de Emenda,Autor da emenda,Numero da emenda,Localidade do gasto,Funcao,Subfuncao,Programa Orcamentario,Acao Orcamentaria,Plano Orcamentario,Codigo da emenda,Valor empenhado,Valor pago
2023,Emenda Individual - Transferências com Finalidade Definida,ZE VITOR,7,MINAS GERAIS (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos","5034 - PROTECAO A VIDA, FORTALECIMENTO DA FAMILIA, PROMOCAO E DEFESA DOS DIREITOS HUMANOS PARA TODOS",21AR - PROMOCAO E DEFESA DE DIREITOS HUMANOS PARA TODOS,PROMOCAO E DEFESA DE DIREITOS HUMANOS PARA TODOS - DESPESAS DIVERSAS,202340770007,2443813.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,IRAJA,5,TOCANTINS (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos","5034 - PROTECAO A VIDA, FORTALECIMENTO DA FAMILIA, PROMOCAO E DEFESA DOS DIREITOS HUMANOS PARA TODOS",21AR - PROMOCAO E DEFESA DE DIREITOS HUMANOS PARA TODOS,PROMOCAO E DEFESA DE DIREITOS HUMANOS PARA TODOS - DESPESAS DIVERSAS,202340960005,2000000.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,MARIA ROSAS,9,SÃO PAULO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos","5034 - PROTECAO A VIDA, FORTALECIMENTO DA FAMILIA, PROMOCAO E DEFESA DOS DIREITOS HUMANOS PARA TODOS",21AR - PROMOCAO E DEFESA DE DIREITOS HUMANOS PARA TODOS,PROMOCAO E DEFESA DE DIREITOS HUMANOS PARA TODOS - DESPESAS DIVERSAS,202341190009,620791.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,LUIZ LIMA,9,RIO DE JANEIRO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos","5034 - PROTECAO A VIDA, FORTALECIMENTO DA FAMILIA, PROMOCAO E DEFESA DOS DIREITOS HUMANOS PARA TODOS",21AR - PROMOCAO E DEFESA DE DIREITOS HUMANOS PARA TODOS,PROMOCAO E DEFESA DE DIREITOS HUMANOS PARA TODOS - DESPESAS DIVERSAS,202341580009,300000.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,TADEU ALENCAR,4,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,5018 - ATENCAO ESPECIALIZADA A SAUDE,8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE,ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS,202337670004,6467.0,6467.0
2023,Emenda Individual - Transferências com Finalidade Definida,JUNIOR MANO,6,CEARÁ (UF),Saúde,Atenção básica,5019 - ATENCAO PRIMARIA A SAUDE,8581 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE,ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE - DESPESAS DIVERSAS,202340280006,24570.0,24570.0
2023,Emenda de Comissão,COM. DEFESA DO CONSUMIDOR,3,Nacional,Direitos da cidadania,"Direitos individuais, coletivos e difusos",5015 - JUSTICA,2334 - PROTECAO E DEFESA DO CONSUMIDOR,PROTECAO E DEFESA DO CONSUMIDOR - DESPESAS DIVERSAS,202350130003,25000.0,0.0
2023,Emenda de Comissão,COM. CONST. JUSTICA E CIDADANIA,4,Nacional,Direitos da cidadania,"Direitos individuais, coletivos e difusos",5015 - JUSTICA,2334 - PROTECAO E DEFESA DO CONSUMIDOR,PROTECAO E DEFESA DO CONSUMIDOR - DESPESAS DIVERSAS,202360030004,25000.0,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,HUMBERTO COSTA,11,PERNAMBUCO (UF),Educação,Ensino profissional,5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA,"21B3 - FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO NA EDUCACAO PROFISSIONAL E TECNOLOGICA","FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO E AO DESENVOLVIMENTO DE POLITICAS, REGULACAO E SUPERVISAO DA EDUCACAO PROFISSIONAL E TECNOLOGICA",202328850011,37672.9,0.0
2023,Emenda Individual - Transferências com Finalidade Definida,HUMBERTO COSTA,13,PERNAMBUCO (UF),Educação,Ensino profissional,5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA,"20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA","FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA",202328850013,38997.44,9871.44
