"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;11;"Prefeito";"Coligação";11;"PP";"Partido Progressista";10000000102;"JUNTOS COM CORAGEM E ATITUDE";"PP / PSDC / PROS / PSD";"N";1545;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;11;"Prefeito";"Coligação";10;"PRB";"Partido Republicano Brasileiro";10000000193;"PRODUZIR PRA EMPREGAR";"PRB / PR / DEM";"N";259;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;11;"Prefeito";"Coligação";40;"PSB";"Partido Socialista Brasileiro";10000000229;"UNIDOS POR ACRELANDIA";"PSB / PSL / PMDB / PRP";"N";3852;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;11;"Prefeito";"Coligação";12;"PDT";"Partido Democrático Trabalhista";10000000128;"VAMOS JUNTOS RENOVAR ACRELÂNDIA";"PDT / PTN / PC do B / PHS";"N";886;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;11;"Prefeito";"Partido isolado";45;"PSDB";"Partido da Social Democracia Brasileira";10000000237;"PARTIDO ISOLADO";"PSDB";"N";627;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";10000000290;"Juntos Com Coragem e Atitude II";"PSDC / PROS";"N";929;18
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";10000000290;"Juntos Com Coragem e Atitude II";"PSDC / PROS";"N";315;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";10000000291;"Juntos com Coragem e Atitude I";"PP / PSD";"N";987;83
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";10000000291;"Juntos com Coragem e Atitude I";"PP / PSD";"N";585;18
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";25;"DEM";"Democratas";10000000194;"PRODUZIR PARA EMPREGAR";"PRB / PR / DEM";"N";186;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";10000000194;"PRODUZIR PARA EMPREGAR";"PRB / PR / DEM";"N";304;18
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";22;"PR";"Partido da República";10000000194;"PRODUZIR PARA EMPREGAR";"PRB / PR / DEM";"N";195;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";44;"PRP";"Partido Republicano Progressista";10000000229;"UNIDOS POR ACRELANDIA";"PSB / PSL / PMDB / PRP";"N";40;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";17;"PSL";"Partido Social Liberal";10000000229;"UNIDOS POR ACRELANDIA";"PSB / PSL / PMDB / PRP";"N";506;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";10000000229;"UNIDOS POR ACRELANDIA";"PSB / PSL / PMDB / PRP";"N";936;169
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";10000000229;"UNIDOS POR ACRELANDIA";"PSB / PSL / PMDB / PRP";"N";419;19
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";10000000128;"VAMOS JUNTOS RENOVAR ACRELÂNDIA";"PDT / PTN / PC do B / PHS";"N";72;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";10000000128;"VAMOS JUNTOS RENOVAR ACRELÂNDIA";"PDT / PTN / PC do B / PHS";"N";341;67
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";10000000128;"VAMOS JUNTOS RENOVAR ACRELÂNDIA";"PDT / PTN / PC do B / PHS";"N";0;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";10000000128;"VAMOS JUNTOS RENOVAR ACRELÂNDIA";"PDT / PTN / PC do B / PHS";"N";175;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Partido isolado";45;"PSDB";"Partido da Social Democracia Brasileira";10000000237;"PARTIDO ISOLADO";"PSDB";"N";322;34
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";"Partido isolado";13;"PT";"Partido dos Trabalhadores";10000000239;"PARTIDO ISOLADO";"PT";"N";466;73
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";10000000175;"JUNTOS PODEMOS MAIS";"PDT / PMDB / PSDB / PSC / PPS / PSD / PEN / PR";"N";2324;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;11;"Prefeito";"Coligação";25;"DEM";"Democratas";10000000279;"UNIÃO DEMOCRÁTICA";"DEM / PP";"N";753;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;11;"Prefeito";"Coligação";65;"PC do B";"Partido Comunista do Brasil";10000000246;"o novo com a força do povo";"PC do B / PT / PSL / PSB / PHS / PV";"N";1342;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";10000000247;"FPA II";"PT / PSL / PHS / PSB / PV";"N";0;5
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;13;"Vereador";"Coligação";17;"PSL";"Partido Social Liberal";10000000247;"FPA II";"PT / PSL / PHS / PSB / PV";"N";16;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";10000000247;"FPA II";"PT / PSL / PHS / PSB / PV";"N";11;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;13;"Vereador";"Coligação";43;"PV";"Partido Verde";10000000247;"FPA II";"PT / PSL / PHS / PSB / PV";"N";20;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";10000000247;"FPA II";"PT / PSL / PHS / PSB / PV";"N";647;28
