"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;11;"Prefeito";"Coligação";12;"PDT";"Partido Democrático Trabalhista";20000000043;"A MUDANÇA E AGORA";"PDT / PHS / PRB / PRP / PPS / PSL / PSC";"N";4786;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";20000000082;"ANADIA NO CAMINHO CERTO";"PP / PMDB / PTN / DEM / PRTB / PSDB / PSD / PROS";"N";4585;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";20000000043;"A MUDANÇA E AGORA";"PDT / PHS / PRB / PRP / PPS / PSL / PSC";"N";663;272
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";20000000043;"A MUDANÇA E AGORA";"PDT / PHS / PRB / PRP / PPS / PSL / PSC";"N";170;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";20000000043;"A MUDANÇA E AGORA";"PDT / PHS / PRB / PRP / PPS / PSL / PSC";"N";410;16
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";20000000043;"A MUDANÇA E AGORA";"PDT / PHS / PRB / PRP / PPS / PSL / PSC";"N";0;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";44;"PRP";"Partido Republicano Progressista";20000000043;"A MUDANÇA E AGORA";"PDT / PHS / PRB / PRP / PPS / PSL / PSC";"N";884;27
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";20000000043;"A MUDANÇA E AGORA";"PDT / PHS / PRB / PRP / PPS / PSL / PSC";"N";381;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";17;"PSL";"Partido Social Liberal";20000000043;"A MUDANÇA E AGORA";"PDT / PHS / PRB / PRP / PPS / PSL / PSC";"N";668;18
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";25;"DEM";"Democratas";20000000082;"ANADIA NO CAMINHO CERTO";"PP / PMDB / PTN / DEM / PRTB / PSDB / PSD / PROS";"N";0;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";20000000082;"ANADIA NO CAMINHO CERTO";"PP / PMDB / PTN / DEM / PRTB / PSDB / PSD / PROS";"N";266;29
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";20000000082;"ANADIA NO CAMINHO CERTO";"PP / PMDB / PTN / DEM / PRTB / PSDB / PSD / PROS";"N";727;31
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";20000000082;"ANADIA NO CAMINHO CERTO";"PP / PMDB / PTN / DEM / PRTB / PSDB / PSD / PROS";"N";112;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";20000000082;"ANADIA NO CAMINHO CERTO";"PP / PMDB / PTN / DEM / PRTB / PSDB / PSD / PROS";"N";1280;33
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";20000000082;"ANADIA NO CAMINHO CERTO";"PP / PMDB / PTN / DEM / PRTB / PSDB / PSD / PROS";"N";27;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";20000000082;"ANADIA NO CAMINHO CERTO";"PP / PMDB / PTN / DEM / PRTB / PSDB / PSD / PROS";"N";772;29
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27030";"ANADIA";"27030";"ANADIA";4;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";20000000082;"ANADIA NO CAMINHO CERTO";"PP / PMDB / PTN / DEM / PRTB / PSDB / PSD / PROS";"N";2453;231
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";22;11;"Prefeito";"Coligação";11;"PP";"Partido Progressista";20000000103;"A MUDANÇA QUE O POVO QUER";"PP / PR / SD / PROS / PTN / PSDC / PEN";"N";14008;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";22;11;"Prefeito";"Coligação";50;"PSOL";"Partido Socialismo e Liberdade";20000000620;"A Verdadeira Mudança";"PSOL / PV";"N";1002;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";22;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";20000000123;"ARAPIRACA, JUNTOS POR NOVAS CONQUISTAS";"PMDB / PSL / PPS / PMN / PRTB / PDT / PRP / PT / PC do B / PTC / PHS / PT do B";"N";26726;0
