"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AM";"02895";"ALVARÃES";"02895";"ALVARÃES";60;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";40000000376;"ALVARÃES PARA TODOS";"PP / PTB / PMDB / PPS / PSDC / PRP / PPL";"N";2464;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AM";"02895";"ALVARÃES";"02895";"ALVARÃES";60;11;"Prefeito";"Coligação";19;"PTN";"Partido Trabalhista Nacional";40000000302;"EU ACREDITO, ALVARÃES AINDA TEM JEITO";"PTN / PSDB / PT do B / PR";"N";1788;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AM";"02895";"ALVARÃES";"02895";"ALVARÃES";60;11;"Prefeito";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";40000000199;"UNIDOS SOMOS MAIS FORTES";"PMN / PRB / PT / PTC / PSD / PDT / PSB / PV / PC do B / PEN / PSC / PROS / PSL";"N";3567;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AM";"02895";"ALVARÃES";"02895";"ALVARÃES";60;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";40000000466;"CONFIRMA ALVARÃES";"PP / PRP";"N";1373;56
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AM";"02895";"ALVARÃES";"02895";"ALVARÃES";60;13;"Vereador";"Coligação";44;"PRP";"Partido Republicano Progressista";40000000466;"CONFIRMA ALVARÃES";"PP / PRP";"N";0;11
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AM";"02895";"ALVARÃES";"02895";"ALVARÃES";60;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";40000000302;"EU ACREDITO, ALVARÃES AINDA TEM JEITO";"PTN / PSDB / PT do B / PR";"N";698;68
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AM";"02895";"ALVARÃES";"02895";"ALVARÃES";60;13;"Vereador";"Coligação";70;"PT do B";"Partido Trabalhista do Brasil";40000000302;"EU ACREDITO, ALVARÃES AINDA TEM JEITO";"PTN / PSDB / PT do B / PR";"N";0;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AM";"02895";"ALVARÃES";"02895";"ALVARÃES";60;13;"Vereador";"Coligação";22;"PR";"Partido da República";40000000302;"EU ACREDITO, ALVARÃES AINDA TEM JEITO";"PTN / PSDB / PT do B / PR";"N";59;17
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AM";"02895";"ALVARÃES";"02895";"ALVARÃES";60;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";40000000302;"EU ACREDITO, ALVARÃES AINDA TEM JEITO";"PTN / PSDB / PT do B / PR";"N";493;21
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AM";"02895";"ALVARÃES";"02895";"ALVARÃES";60;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";40000000212;"MUDA ALVARÃES";"PROS / PRB / PSC / PSB / PSD / PSL";"N";80;2
