"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";"Coligação";33;"PMN";"Partido da Mobilização Nacional";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";2243;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";30000000116;"JUNTOS PELO AMAPÁ";"PDT / PMDB / PROS / PSDB";"N";1044;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";"Coligação";22;"PR";"Partido da República";30000000196;"RENOVA AMAPÁ";"PT / REDE / DEM / PMB / PTB / PR";"N";1841;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";0;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";51;"PEN";"Partido Ecológico Nacional";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";0;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";0;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";51;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";36;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";30;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";149;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";169;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";74;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";140;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";36;"PTC";"Partido Trabalhista Cristão";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";0;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";28;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";70;"PT do B";"Partido Trabalhista do Brasil";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";329;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";33;"PMN";"Partido da Mobilização Nacional";30000000193;"FRENTE AMAPAENSE MUDA AMAPA";"PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC";"N";615;83
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";30000000116;"JUNTOS PELO AMAPÁ";"PDT / PMDB / PROS / PSDB";"N";665;22
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";30000000116;"JUNTOS PELO AMAPÁ";"PDT / PMDB / PROS / PSDB";"N";256;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";30000000116;"JUNTOS PELO AMAPÁ";"PDT / PMDB / PROS / PSDB";"N";153;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";30000000116;"JUNTOS PELO AMAPÁ";"PDT / PMDB / PROS / PSDB";"N";108;19
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";25;"DEM";"Democratas";30000000211;"RENOVA AMAPÁ";"PT / PTB / REDE / PR / DEM / PMB";"N";265;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";30000000211;"RENOVA AMAPÁ";"PT / PTB / REDE / PR / DEM / PMB";"N";0;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";35;"PMB";"Partido da Mulher Brasileira";30000000211;"RENOVA AMAPÁ";"PT / PTB / REDE / PR / DEM / PMB";"N";650;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";22;"PR";"Partido da República";30000000211;"RENOVA AMAPÁ";"PT / PTB / REDE / PR / DEM / PMB";"N";800;82
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";30000000211;"RENOVA AMAPÁ";"PT / PTB / REDE / PR / DEM / PMB";"N";99;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";"Coligação";18;"REDE";"Rede Sustentabilidade";30000000211;"RENOVA AMAPÁ";"PT / PTB / REDE / PR / DEM / PMB";"N";227;2
