"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"BA";"33030";"ABARÉ";"33030";"ABARÉ";158;11;"Prefeito";"Coligação";13;"PT";"Partido dos Trabalhadores";50000001822;"JUNTOS SOMOS MAIS FORTES";"PT / PP / PHS / DEM / PTN / PR / PSL / PSD";"N";5482;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"BA";"33030";"ABARÉ";"33030";"ABARÉ";158;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";50000001309;"O TRABALHO CONTINUA";"PMDB / PSB / PSC / PPS / PDT / PTC";"N";5251;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"BA";"33030";"ABARÉ";"33030";"ABARÉ";158;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";50000001304;"A VONTADE DO POVO";"PTC / PSC / PPS / PSB";"N";1116;46
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"BA";"33030";"ABARÉ";"33030";"ABARÉ";158;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";50000001304;"A VONTADE DO POVO";"PTC / PSC / PPS / PSB";"N";142;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"BA";"33030";"ABARÉ";"33030";"ABARÉ";158;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";50000001304;"A VONTADE DO POVO";"PTC / PSC / PPS / PSB";"N";319;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"BA";"33030";"ABARÉ";"33030";"ABARÉ";158;13;"Vereador";"Coligação";36;"PTC";"Partido Trabalhista Cristão";50000001304;"A VONTADE DO POVO";"PTC / PSC / PPS / PSB";"N";315;12
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"BA";"33030";"ABARÉ";"33030";"ABARÉ";158;13;"Vereador";"Coligação";25;"DEM";"Democratas";50000001815;"UNIDOS POR ABARE";"PT / PP / PHS / DEM / PTN / PR / PSL / PSD";"N";116;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"BA";"33030";"ABARÉ";"33030";"ABARÉ";158;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";50000001815;"UNIDOS POR ABARE";"PT / PP / PHS / DEM / PTN / PR / PSL / PSD";"N";414;16
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"BA";"33030";"ABARÉ";"33030";"ABARÉ";158;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";50000001815;"UNIDOS POR ABARE";"PT / PP / PHS / DEM / PTN / PR / PSL / PSD";"N";1649;110
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"BA";"33030";"ABARÉ";"33030";"ABARÉ";158;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";50000001815;"UNIDOS POR ABARE";"PT / PP / PHS / DEM / PTN / PR / PSL / PSD";"N";1358;55
