"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"CE";"13013";"ABAIARA";"13013";"ABAIARA";26;11;"Prefeito";"Coligação";10;"PRB";"Partido Republicano Brasileiro";60000000368;"ABAIARA CRESCENDO COM O POVO";"PMDB / PRB / PTN / PSDB / PP / DEM";"N";2754;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"CE";"13013";"ABAIARA";"13013";"ABAIARA";26;11;"Prefeito";"Coligação";13;"PT";"Partido dos Trabalhadores";60000000635;"UNIDOS PELA MUDANÇA";"PT / PDT / PC do B / PTB / PR";"N";2889;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"CE";"13013";"ABAIARA";"13013";"ABAIARA";26;13;"Vereador";"Coligação";25;"DEM";"Democratas";60000000368;"ABAIARA CRESCENDO COM O POVO";"PMDB / PRB / PTN / PSDB / PP / DEM";"N";43;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"CE";"13013";"ABAIARA";"13013";"ABAIARA";26;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";60000000368;"ABAIARA CRESCENDO COM O POVO";"PMDB / PRB / PTN / PSDB / PP / DEM";"N";427;51
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"CE";"13013";"ABAIARA";"13013";"ABAIARA";26;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";60000000368;"ABAIARA CRESCENDO COM O POVO";"PMDB / PRB / PTN / PSDB / PP / DEM";"N";501;74
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"CE";"13013";"ABAIARA";"13013";"ABAIARA";26;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";60000000368;"ABAIARA CRESCENDO COM O POVO";"PMDB / PRB / PTN / PSDB / PP / DEM";"N";0;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"CE";"13013";"ABAIARA";"13013";"ABAIARA";26;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";60000000368;"ABAIARA CRESCENDO COM O POVO";"PMDB / PRB / PTN / PSDB / PP / DEM";"N";1474;86
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"CE";"13013";"ABAIARA";"13013";"ABAIARA";26;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";60000000368;"ABAIARA CRESCENDO COM O POVO";"PMDB / PRB / PTN / PSDB / PP / DEM";"N";928;55
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"CE";"13013";"ABAIARA";"13013";"ABAIARA";26;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";60000000635;"UNIDOS PELA MUDANÇA";"PT / PDT / PC do B / PTB / PR";"N";399;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"CE";"13013";"ABAIARA";"13013";"ABAIARA";26;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";60000000635;"UNIDOS PELA MUDANÇA";"PT / PDT / PC do B / PTB / PR";"N";0;66
