"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";80000000486;"AFONSO CLAUDIO DO POVO";"PRB / PDT / PTB / PMDB / REDE / PTN / PR / PRTB / PTC / PV / PSD / PROS";"N";11454;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;11;"Prefeito";"Coligação";13;"PT";"Partido dos Trabalhadores";80000000239;"Afonso Cláudio Municipio bom para trabalhar e viver";"PT / PMN / PC do B / PSL";"N";3251;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;11;"Prefeito";"Coligação";77;"SD";"Solidariedade";80000000628;"COM A FORÇA DO POVO, PODEMOS MAIS";"DEM / PEN / SD / PT do B / PP / PSDB / PSB / PPS";"N";3451;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";80000000650;"AFONSO CLÁUDIO NO CAMINHO CERTO.";"PSDB / PPS / PSB";"N";213;12
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";80000000650;"AFONSO CLÁUDIO NO CAMINHO CERTO.";"PSDB / PPS / PSB";"N";1227;22
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";80000000650;"AFONSO CLÁUDIO NO CAMINHO CERTO.";"PSDB / PPS / PSB";"N";573;30
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";80000000239;"Afonso Cláudio Municipio bom para trabalhar e viver";"PT / PMN / PC do B / PSL";"N";560;18
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";17;"PSL";"Partido Social Liberal";80000000239;"Afonso Cláudio Municipio bom para trabalhar e viver";"PT / PMN / PC do B / PSL";"N";0;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";33;"PMN";"Partido da Mobilização Nacional";80000000239;"Afonso Cláudio Municipio bom para trabalhar e viver";"PT / PMN / PC do B / PSL";"N";716;13
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";80000000239;"Afonso Cláudio Municipio bom para trabalhar e viver";"PT / PMN / PC do B / PSL";"N";1101;151
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";80000000501;"COM RESPEITO AFONSO CLÁUDIO";"PMDB / REDE / PRB / PTC / PRTB";"N";52;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";80000000501;"COM RESPEITO AFONSO CLÁUDIO";"PMDB / REDE / PRB / PTC / PRTB";"N";88;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";36;"PTC";"Partido Trabalhista Cristão";80000000501;"COM RESPEITO AFONSO CLÁUDIO";"PMDB / REDE / PRB / PTC / PRTB";"N";341;12
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";80000000501;"COM RESPEITO AFONSO CLÁUDIO";"PMDB / REDE / PRB / PTC / PRTB";"N";1614;577
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";18;"REDE";"Rede Sustentabilidade";80000000501;"COM RESPEITO AFONSO CLÁUDIO";"PMDB / REDE / PRB / PTC / PRTB";"N";478;15
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";80000000488;"PARTICIPAÇÃO POPULAR";"PSD / PDT / PV / PTN / PR / PTB";"N";1315;61
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";80000000488;"PARTICIPAÇÃO POPULAR";"PSD / PDT / PV / PTN / PR / PTB";"N";2211;54
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";80000000488;"PARTICIPAÇÃO POPULAR";"PSD / PDT / PV / PTN / PR / PTB";"N";49;13
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";80000000488;"PARTICIPAÇÃO POPULAR";"PSD / PDT / PV / PTN / PR / PTB";"N";0;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";43;"PV";"Partido Verde";80000000488;"PARTICIPAÇÃO POPULAR";"PSD / PDT / PV / PTN / PR / PTB";"N";1315;18
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";22;"PR";"Partido da República";80000000488;"PARTICIPAÇÃO POPULAR";"PSD / PDT / PV / PTN / PR / PTB";"N";9;41
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";25;"DEM";"Democratas";80000000639;"RENOVAR, PARA NÃO VOLTAR ATRÁS";"DEM / PEN / PP / PSC / SD";"N";2337;46
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";51;"PEN";"Partido Ecológico Nacional";80000000639;"RENOVAR, PARA NÃO VOLTAR ATRÁS";"DEM / PEN / PP / PSC / SD";"N";282;15
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";80000000639;"RENOVAR, PARA NÃO VOLTAR ATRÁS";"DEM / PEN / PP / PSC / SD";"N";1338;110
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";80000000639;"RENOVAR, PARA NÃO VOLTAR ATRÁS";"DEM / PEN / PP / PSC / SD";"N";351;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56014";"AFONSO CLÁUDIO";"56014";"AFONSO CLÁUDIO";8;13;"Vereador";"Coligação";77;"SD";"Solidariedade";80000000639;"RENOVAR, PARA NÃO VOLTAR ATRÁS";"DEM / PEN / PP / PSC / SD";"N";1284;171
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;11;"Prefeito";"Coligação";55;"PSD";"Partido Social Democrático";80000000417;"ALEGRE AVANTE COM MORALIZAÇÃO E TRABALHO";"PMDB / DEM / PSDC / PSD / PROS";"N";1327;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;11;"Prefeito";"Coligação";77;"SD";"Solidariedade";80000000088;"JUNTOS PARA ALEGRE AVANÇAR";"PRB / SD / PRP / PSB / PPS / PTN / PR / PMN / PMB / PV / PT do B";"N";5176;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;11;"Prefeito";"Coligação";13;"PT";"Partido dos Trabalhadores";80000000241;"POR UM ALEGRE MELHOR";"PRTB / PT";"N";1786;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";80000000218;"UNIÃO, PAZ E PROGRESSO";"PP / PSDB / PHS / REDE / PC do B / PSC / PDT / PTC / PSL / PTB";"N";8828;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;11;"Prefeito";"Partido isolado";50;"PSOL";"Partido Socialismo e Liberdade";80000000210;"PARTIDO ISOLADO";"PSOL";"N";239;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";25;"DEM";"Democratas";80000000417;"ALEGRE AVANTE COM MORALIZAÇÃO E TRABALHO";"PMDB / DEM / PSDC / PSD / PROS";"N";686;28
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";80000000417;"ALEGRE AVANTE COM MORALIZAÇÃO E TRABALHO";"PMDB / DEM / PSDC / PSD / PROS";"N";78;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";80000000417;"ALEGRE AVANTE COM MORALIZAÇÃO E TRABALHO";"PMDB / DEM / PSDC / PSD / PROS";"N";835;8
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";80000000417;"ALEGRE AVANTE COM MORALIZAÇÃO E TRABALHO";"PMDB / DEM / PSDC / PSD / PROS";"N";62;72
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";80000000417;"ALEGRE AVANTE COM MORALIZAÇÃO E TRABALHO";"PMDB / DEM / PSDC / PSD / PROS";"N";987;35
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";80000000090;"JUNTOS PARA O PROGRESSO DE ALEGRE";"SD / PSB / PRP / PPS";"N";31;14
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";44;"PRP";"Partido Republicano Progressista";80000000090;"JUNTOS PARA O PROGRESSO DE ALEGRE";"SD / PSB / PRP / PPS";"N";894;55
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";80000000090;"JUNTOS PARA O PROGRESSO DE ALEGRE";"SD / PSB / PRP / PPS";"N";723;15
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";77;"SD";"Solidariedade";80000000090;"JUNTOS PARA O PROGRESSO DE ALEGRE";"SD / PSB / PRP / PPS";"N";726;157
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";80000000221;"PAZ, UNIÃO E DESENVOLVIMENTO";"PSDB / PDT / PTC / PHS / PTB / REDE";"N";573;50
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";80000000221;"PAZ, UNIÃO E DESENVOLVIMENTO";"PSDB / PDT / PTC / PHS / PTB / REDE";"N";0;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";80000000221;"PAZ, UNIÃO E DESENVOLVIMENTO";"PSDB / PDT / PTC / PHS / PTB / REDE";"N";165;11
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";36;"PTC";"Partido Trabalhista Cristão";80000000221;"PAZ, UNIÃO E DESENVOLVIMENTO";"PSDB / PDT / PTC / PHS / PTB / REDE";"N";764;14
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";80000000221;"PAZ, UNIÃO E DESENVOLVIMENTO";"PSDB / PDT / PTC / PHS / PTB / REDE";"N";1097;450
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";18;"REDE";"Rede Sustentabilidade";80000000221;"PAZ, UNIÃO E DESENVOLVIMENTO";"PSDB / PDT / PTC / PHS / PTB / REDE";"N";533;11
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";80000000241;"POR UM ALEGRE MELHOR";"PRTB / PT";"N";772;8
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";80000000241;"POR UM ALEGRE MELHOR";"PRTB / PT";"N";303;72
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";80000000089;"RENOVAÇÃO COM RESPONSABILIDADE";"PMN / PT do B / PTN / PMB / PR / PRB";"N";637;19
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";80000000089;"RENOVAÇÃO COM RESPONSABILIDADE";"PMN / PT do B / PTN / PMB / PR / PRB";"N";186;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";70;"PT do B";"Partido Trabalhista do Brasil";80000000089;"RENOVAÇÃO COM RESPONSABILIDADE";"PMN / PT do B / PTN / PMB / PR / PRB";"N";380;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";33;"PMN";"Partido da Mobilização Nacional";80000000089;"RENOVAÇÃO COM RESPONSABILIDADE";"PMN / PT do B / PTN / PMB / PR / PRB";"N";1267;35
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";35;"PMB";"Partido da Mulher Brasileira";80000000089;"RENOVAÇÃO COM RESPONSABILIDADE";"PMN / PT do B / PTN / PMB / PR / PRB";"N";98;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";22;"PR";"Partido da República";80000000089;"RENOVAÇÃO COM RESPONSABILIDADE";"PMN / PT do B / PTN / PMB / PR / PRB";"N";9;20
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";80000000223;"UNIÃO POR ALEGRE";"PP / PC do B / PSL / PSC";"N";608;12
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";80000000223;"UNIÃO POR ALEGRE";"PP / PC do B / PSL / PSC";"N";144;34
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";80000000223;"UNIÃO POR ALEGRE";"PP / PC do B / PSL / PSC";"N";1236;16
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Coligação";17;"PSL";"Partido Social Liberal";80000000223;"UNIÃO POR ALEGRE";"PP / PC do B / PSL / PSC";"N";266;13
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56030";"ALEGRE";"56030";"ALEGRE";4;13;"Vereador";"Partido isolado";43;"PV";"Partido Verde";80000000091;"PARTIDO ISOLADO";"PV";"N";2625;50
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"ES";"56057";"ALFREDO CHAVES";"56057";"ALFREDO CHAVES";12;11;"Prefeito";"Coligação";40;"PSB";"Partido Socialista Brasileiro";80000000064;" AVANÇAR COM SERIEDADE ";"PSB / PROS / PMN / PSDB / PP / PSC / PR / PTN / PV";"N";5019;0
