"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"GO";"93360";"ABADIA DE GOIÁS";"93360";"ABADIA DE GOIÁS";56;11;"Prefeito";"Coligação";10;"PRB";"Partido Republicano Brasileiro";90000001143;"#votando consciente";"PRB / PDT";"N";109;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"GO";"93360";"ABADIA DE GOIÁS";"93360";"ABADIA DE GOIÁS";56;11;"Prefeito";"Coligação";25;"DEM";"Democratas";90000000574;"ALIANÇA COM O POVO";"DEM / PTN";"N";334;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"GO";"93360";"ABADIA DE GOIÁS";"93360";"ABADIA DE GOIÁS";56;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";90000000608;"CRESCENDO COM VOCÊ";"PSDB / PHS / PRTB";"N";2367;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"GO";"93360";"ABADIA DE GOIÁS";"93360";"ABADIA DE GOIÁS";56;11;"Prefeito";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";90000001534;"O FUTURO ESTÁ NO NOVO";"PROS / PSC";"N";639;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"GO";"93360";"ABADIA DE GOIÁS";"93360";"ABADIA DE GOIÁS";56;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";90000000637;"UNIÃO E PROGRESSO";"PMDB / PPS / PSD";"N";1460;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"GO";"93360";"ABADIA DE GOIÁS";"93360";"ABADIA DE GOIÁS";56;11;"Prefeito";"Coligação";22;"PR";"Partido da República";90000000148;"É Preciso Acreditar, Trabalho e Competência";"PR / PEN / PC do B";"N";811;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"GO";"93360";"ABADIA DE GOIÁS";"93360";"ABADIA DE GOIÁS";56;11;"Prefeito";"Partido isolado";14;"PTB";"Partido Trabalhista Brasileiro";90000001344;"PARTIDO ISOLADO";"PTB";"N";912;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"GO";"93360";"ABADIA DE GOIÁS";"93360";"ABADIA DE GOIÁS";56;11;"Prefeito";"Partido isolado";36;"PTC";"Partido Trabalhista Cristão";90000001369;"PARTIDO ISOLADO";"PTC";"N";166;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"GO";"93360";"ABADIA DE GOIÁS";"93360";"ABADIA DE GOIÁS";56;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";90000001143;"#votando consciente";"PRB / PDT";"N";263;14
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"GO";"93360";"ABADIA DE GOIÁS";"93360";"ABADIA DE GOIÁS";56;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";90000001143;"#votando consciente";"PRB / PDT";"N";473;10
