"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";100000000773;"AFONSO CUNHA SEGUE EM FRETE";"PMDB / PDT / PTN / PSDB / PEN / PT do B";"N";1394;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;11;"Prefeito";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";100000000798;"VONTADE DO POVO";"PTB / PSL / PP / PC do B / PRTB / PR / PSDC / PSC";"N";2181;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;11;"Prefeito";"Partido isolado";40;"PSB";"Partido Socialista Brasileiro";100000000081;"PARTIDO ISOLADO";"PSB";"N";1464;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";100000001067;"AFONSO CUNHA CONTINUA CRESCENDO";"PMDB / PDT / PTN / PSDB / PT do B / PEN";"N";86;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";51;"PEN";"Partido Ecológico Nacional";100000001067;"AFONSO CUNHA CONTINUA CRESCENDO";"PMDB / PDT / PTN / PSDB / PT do B / PEN";"N";153;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";100000001067;"AFONSO CUNHA CONTINUA CRESCENDO";"PMDB / PDT / PTN / PSDB / PT do B / PEN";"N";204;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";70;"PT do B";"Partido Trabalhista do Brasil";100000001067;"AFONSO CUNHA CONTINUA CRESCENDO";"PMDB / PDT / PTN / PSDB / PT do B / PEN";"N";471;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";100000001067;"AFONSO CUNHA CONTINUA CRESCENDO";"PMDB / PDT / PTN / PSDB / PT do B / PEN";"N";445;43
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";100000001067;"AFONSO CUNHA CONTINUA CRESCENDO";"PMDB / PDT / PTN / PSDB / PT do B / PEN";"N";639;19
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";100000000854;"COLIGAÇÃO DO POVO I";"PTB / PP / PSDC";"N";172;22
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";100000000854;"COLIGAÇÃO DO POVO I";"PTB / PP / PSDC";"N";108;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";100000000854;"COLIGAÇÃO DO POVO I";"PTB / PP / PSDC";"N";689;69
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";100000001039;"COLIGAÇÃO POR AMOR A AFONSO CUNHA";"PSL / PR / PRTB / PC do B / PSC";"N";366;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";100000001039;"COLIGAÇÃO POR AMOR A AFONSO CUNHA";"PSL / PR / PRTB / PC do B / PSC";"N";224;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";100000001039;"COLIGAÇÃO POR AMOR A AFONSO CUNHA";"PSL / PR / PRTB / PC do B / PSC";"N";133;5
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";17;"PSL";"Partido Social Liberal";100000001039;"COLIGAÇÃO POR AMOR A AFONSO CUNHA";"PSL / PR / PRTB / PC do B / PSC";"N";174;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Coligação";22;"PR";"Partido da República";100000001039;"COLIGAÇÃO POR AMOR A AFONSO CUNHA";"PSL / PR / PRTB / PC do B / PSC";"N";336;8
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07013";"AFONSO CUNHA";"07013";"AFONSO CUNHA";28;13;"Vereador";"Partido isolado";40;"PSB";"Partido Socialista Brasileiro";100000000082;"PARTIDO ISOLADO";"PSB";"N";630;70
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;11;"Prefeito";"Coligação";12;"PDT";"Partido Democrático Trabalhista";100000001564;"A ESPERANÇA CONTINUA";"PMB / PSD / PDT / PSL";"N";2087;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;11;"Prefeito";"Coligação";65;"PC do B";"Partido Comunista do Brasil";100000001502;"ALCÂNTARA É DE TODOS NÓS";"PC do B / PMN";"N";8518;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;11;"Prefeito";"Coligação";13;"PT";"Partido dos Trabalhadores";100000001563;"UNIDOS POR ALCANTARA";"PT / PPS / PTN / PR / PSB / PEN / PHS / PT do B / PMDB / PRB / PP / PSDB / PRP / PRTB / PTB / PTC";"N";2244;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;11;"Prefeito";"Partido isolado";50;"PSOL";"Partido Socialismo e Liberdade";100000001540;"PARTIDO ISOLADO";"PSOL";"N";522;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";100000001564;"A ESPERANÇA CONTINUA";"PMB / PSD / PDT / PSL";"N";226;86
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";100000001564;"A ESPERANÇA CONTINUA";"PMB / PSD / PDT / PSL";"N";217;14
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;13;"Vereador";"Coligação";17;"PSL";"Partido Social Liberal";100000001564;"A ESPERANÇA CONTINUA";"PMB / PSD / PDT / PSL";"N";456;16
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;13;"Vereador";"Coligação";35;"PMB";"Partido da Mulher Brasileira";100000001564;"A ESPERANÇA CONTINUA";"PMB / PSD / PDT / PSL";"N";450;13
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";100000001561;"JUNTOS VENCEREMOS";"PT / PPS / PTN";"N";176;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";100000001561;"JUNTOS VENCEREMOS";"PT / PPS / PTN";"N";9;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";100000001561;"JUNTOS VENCEREMOS";"PT / PPS / PTN";"N";1527;97
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;13;"Vereador";"Coligação";25;"DEM";"Democratas";100000001518;"PELA RESTAURAÇÃO DE ALCÂNTARA";"PC do B / PSC / DEM / PROS";"N";17;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";100000001518;"PELA RESTAURAÇÃO DE ALCÂNTARA";"PC do B / PSC / DEM / PROS";"N";3419;293
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MA";"07030";"ALCÂNTARA";"07030";"ALCÂNTARA";52;13;"Vereador";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";100000001518;"PELA RESTAURAÇÃO DE ALCÂNTARA";"PC do B / PSC / DEM / PROS";"N";352;4
