"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";120000000152;"NOVO TEMPO";"PSDB / PP / PR";"N";847;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;11;"Prefeito";"Coligação";25;"DEM";"Democratas";120000000190;"RENOVAÇÃO TRABALHO E PAZ";"DEM / SD / PSB";"N";1270;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;11;"Prefeito";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";120000000442;"RENOVAÇÃO, ESPERANÇA E FÉ";"PTB / PDT";"N";71;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;11;"Prefeito";"Partido isolado";15;"PMDB";"Partido do Movimento Democrático Brasileiro";120000000126;"PARTIDO ISOLADO";"PMDB";"N";790;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";120000000152;"NOVO TEMPO";"PSDB / PP / PR";"N";158;15
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;13;"Vereador";"Coligação";22;"PR";"Partido da República";120000000152;"NOVO TEMPO";"PSDB / PP / PR";"N";367;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";120000000152;"NOVO TEMPO";"PSDB / PP / PR";"N";398;34
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";120000000442;"RENOVAÇÃO, ESPERANÇA E FÉ";"PTB / PDT";"N";80;15
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";120000000442;"RENOVAÇÃO, ESPERANÇA E FÉ";"PTB / PDT";"N";118;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;13;"Vereador";"Coligação";25;"DEM";"Democratas";120000000214;"RENOVAÇÃO, TRABALHO E PAZ 1";"DEM / PSB / SD";"N";639;40
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";120000000214;"RENOVAÇÃO, TRABALHO E PAZ 1";"DEM / PSB / SD";"N";276;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;13;"Vereador";"Coligação";77;"SD";"Solidariedade";120000000214;"RENOVAÇÃO, TRABALHO E PAZ 1";"DEM / PSB / SD";"N";167;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"55018";"ALCINÓPOLIS";"55018";"ALCINÓPOLIS";12;13;"Vereador";"Partido isolado";15;"PMDB";"Partido do Movimento Democrático Brasileiro";120000000126;"PARTIDO ISOLADO";"PMDB";"N";642;30
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;11;"Prefeito";"Coligação";12;"PDT";"Partido Democrático Trabalhista";120000000390;"A FORÇA QUE VEM DO POVO";"PDT / PEN / PT do B / PTB / PHS / PSDC / PSD";"N";5203;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";120000000347;"FOCO, FORÇA E FÉ";"PSDB / PPS / PP / PR / PV / DEM / PRB / SD / PSB / PPL / PRTB / PRP";"N";7221;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;11;"Prefeito";"Coligação";13;"PT";"Partido dos Trabalhadores";120000000288;"FRENTE AMAMBAI POPULAR";"PT / PC do B / PSC";"N";3768;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;11;"Prefeito";"Partido isolado";15;"PMDB";"Partido do Movimento Democrático Brasileiro";120000000182;"PARTIDO ISOLADO";"PMDB";"N";1809;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";120000000431;"A FORÇA QUE VEM DO POVO l";"PSDC / PDT / PT do B / PTB / PHS / PSD";"N";1306;314
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";120000000431;"A FORÇA QUE VEM DO POVO l";"PSDC / PDT / PT do B / PTB / PHS / PSD";"N";0;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;13;"Vereador";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";120000000431;"A FORÇA QUE VEM DO POVO l";"PSDC / PDT / PT do B / PTB / PHS / PSD";"N";33;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";120000000431;"A FORÇA QUE VEM DO POVO l";"PSDC / PDT / PT do B / PTB / PHS / PSD";"N";273;22
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";120000000431;"A FORÇA QUE VEM DO POVO l";"PSDC / PDT / PT do B / PTB / PHS / PSD";"N";400;13
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;13;"Vereador";"Coligação";70;"PT do B";"Partido Trabalhista do Brasil";120000000431;"A FORÇA QUE VEM DO POVO l";"PSDC / PDT / PT do B / PTB / PHS / PSD";"N";598;8
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MS";"90115";"AMAMBAI";"90115";"AMAMBAI";1;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";120000000356;"FOCO, FORÇA E FÉ I";"PSDB / PPS / PP / PR / PV";"N";577;22
