"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;11;"Prefeito";"Coligação";40;"PSB";"Partido Socialista Brasileiro";110000000299;"Acorizal não pode parar";"PSB / PSD / PP / PDT / PT / PMDB / DEM / PMB / SD";"N";2648;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";110000000546;"Juntos Vamos fazer uma nova Historia";"PSDB / PSC";"N";2660;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";110000000546;"Juntos Vamos fazer uma nova Historia";"PSDB / PSC";"N";208;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";110000000546;"Juntos Vamos fazer uma nova Historia";"PSDB / PSC";"N";1369;111
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";25;"DEM";"Democratas";110000000301;"O melhor para nossa gente";"SD / DEM / PDT / PMDB / PMB / PT";"N";1;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";110000000301;"O melhor para nossa gente";"SD / DEM / PDT / PMDB / PMB / PT";"N";229;17
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";35;"PMB";"Partido da Mulher Brasileira";110000000301;"O melhor para nossa gente";"SD / DEM / PDT / PMDB / PMB / PT";"N";52;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";110000000301;"O melhor para nossa gente";"SD / DEM / PDT / PMDB / PMB / PT";"N";166;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";110000000301;"O melhor para nossa gente";"SD / DEM / PDT / PMDB / PMB / PT";"N";159;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";77;"SD";"Solidariedade";110000000301;"O melhor para nossa gente";"SD / DEM / PDT / PMDB / PMB / PT";"N";288;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";110000000535;"Para continuar avançando";"PP / PSD / PSB";"N";480;13
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";110000000535;"Para continuar avançando";"PP / PSD / PSB";"N";1293;26
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"90018";"ACORIZAL";"90018";"ACORIZAL";39;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";110000000535;"Para continuar avançando";"PP / PSD / PSB";"N";872;92
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";110000000271;"O FUTURO ESTA PRESENTE";"PSD / PMDB / PRP / PTB";"N";11759;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;11;"Prefeito";"Coligação";12;"PDT";"Partido Democrático Trabalhista";110000000297;"UM NOVO RECOMEÇO";"PDT / PSDB / PRB / PMN / PSDC / PSB";"N";11628;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;11;"Prefeito";"Partido isolado";20;"PSC";"Partido Social Cristão";110000000743;"PARTIDO ISOLADO";"PSC";"N";734;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;11;"Prefeito";"Partido isolado";77;"SD";"Solidariedade";110000000462;"PARTIDO ISOLADO";"SD";"N";2268;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";110000000783;"ALTA FLORESTA INDEPENDENTE";"PT / PPS";"N";1175;32
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";110000000783;"ALTA FLORESTA INDEPENDENTE";"PT / PPS";"N";2501;46
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";25;"DEM";"Democratas";110000000725;"COMUNIDADE NO PODER";"PSC / PRTB / DEM";"N";902;44
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";110000000725;"COMUNIDADE NO PODER";"PSC / PRTB / DEM";"N";191;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";110000000725;"COMUNIDADE NO PODER";"PSC / PRTB / DEM";"N";2302;86
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";44;"PRP";"Partido Republicano Progressista";110000000271;"O FUTURO ESTA PRESENTE";"PSD / PMDB / PRP / PTB";"N";0;16
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";110000000271;"O FUTURO ESTA PRESENTE";"PSD / PMDB / PRP / PTB";"N";2876;53
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";110000000271;"O FUTURO ESTA PRESENTE";"PSD / PMDB / PRP / PTB";"N";0;25
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";110000000271;"O FUTURO ESTA PRESENTE";"PSD / PMDB / PRP / PTB";"N";5171;653
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";110000000297;"UM NOVO RECOMEÇO";"PDT / PSDB / PRB / PMN / PSDC / PSB";"N";2666;606
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";110000000297;"UM NOVO RECOMEÇO";"PDT / PSDB / PRB / PMN / PSDC / PSB";"N";308;19
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"MT";"89877";"ALTA FLORESTA";"89877";"ALTA FLORESTA";24;13;"Vereador";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";110000000297;"UM NOVO RECOMEÇO";"PDT / PSDB / PRB / PMN / PSDC / PSB";"N";0;3
