"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;11;"Prefeito";"Coligação";13;"PT";"Partido dos Trabalhadores";140000001522;"ALIANÇA COM O POVO";"PT / PC do B";"N";16960;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";140000001474;"COLIGAÇÃO DA VONTADE POPULAR";"PDT / PSB / PSDB / PR / SD";"N";20366;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;11;"Prefeito";"Coligação";18;"REDE";"Rede Sustentabilidade";140000001169;"FÉ, FORÇA E GARRA PARA MUDAR";"REDE / PP / PRTB / PTN / PHS / PT do B";"N";11821;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;11;"Prefeito";"Coligação";23;"PPS";"Partido Popular Socialista";140000000623;"RENOVAÇÃO COM COMPETÊNCIA";"PPS / PSC / PV / PSDC";"N";7929;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";140000000463;"TRABALHANDO COM O POVO";"PEN / PRB / PSL / PTB / PMB / PTC / PSD / PROS / PMDB";"N";25735;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;11;"Prefeito";"Partido isolado";25;"DEM";"Democratas";140000000448;"PARTIDO ISOLADO";"DEM";"N";2073;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";140000001522;"ALIANÇA COM O POVO";"PT / PC do B";"N";1122;24
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";140000001522;"ALIANÇA COM O POVO";"PT / PC do B";"N";5990;581
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";140000001251;"FÉ NO QUE VIRÁ";"PP / PRTB / PTN";"N";2733;185
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";140000001251;"FÉ NO QUE VIRÁ";"PP / PRTB / PTN";"N";339;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";140000001251;"FÉ NO QUE VIRÁ";"PP / PRTB / PTN";"N";3;5
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";140000000468;"JUNTOS PELO POVO";"PMDB / PSD";"N";8875;189
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";140000000468;"JUNTOS PELO POVO";"PMDB / PSD";"N";6587;762
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";140000001300;"JUNTOS POR ABAETETUBA";"PDT / PSDB / PSB";"N";5202;311
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";140000001300;"JUNTOS POR ABAETETUBA";"PDT / PSDB / PSB";"N";282;26
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";140000001300;"JUNTOS POR ABAETETUBA";"PDT / PSDB / PSB";"N";11489;808
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";50;"PSOL";"Partido Socialismo e Liberdade";140000001194;"RENOVAR PARA AVANÇAR";"REDE / PSOL / PT do B";"N";4290;64
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";70;"PT do B";"Partido Trabalhista do Brasil";140000001194;"RENOVAR PARA AVANÇAR";"REDE / PSOL / PT do B";"N";0;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PA";"04014";"ABAETETUBA";"04014";"ABAETETUBA";7;13;"Vereador";"Coligação";18;"REDE";"Rede Sustentabilidade";140000001194;"RENOVAR PARA AVANÇAR";"REDE / PSOL / PT do B";"N";2892;395
