"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;11;"Prefeito";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";2656;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;11;"Prefeito";"Coligação";54;"PPL";"Partido Pátria Livre";150000000678;"MUDA AGUIAR";"PPL / DEM";"N";41;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;11;"Prefeito";"Coligação";23;"PPS";"Partido Popular Socialista";150000000094;"Por um Novo Aguiar";"PPS / PSL / PROS / PRTB / PSC";"N";965;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";360;8
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";401;18
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";330;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";345;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";644;69
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";70;"PT do B";"Partido Trabalhista do Brasil";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";411;5
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";33;"PMN";"Partido da Mobilização Nacional";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";60;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";35;"PMB";"Partido da Mulher Brasileira";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";330;12
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";22;"PR";"Partido da República";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";0;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";150000000641;"AGUIAR EM BOAS MAOS";"PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN";"N";279;22
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";25;"DEM";"Democratas";150000000678;"MUDA AGUIAR";"PPL / DEM";"N";0;5
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";54;"PPL";"Partido Pátria Livre";150000000678;"MUDA AGUIAR";"PPL / DEM";"N";20;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";150000000094;"Por um Novo Aguiar";"PPS / PSL / PROS / PRTB / PSC";"N";4;23
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";150000000094;"Por um Novo Aguiar";"PPS / PSL / PROS / PRTB / PSC";"N";120;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";150000000094;"Por um Novo Aguiar";"PPS / PSL / PROS / PRTB / PSC";"N";125;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";150000000094;"Por um Novo Aguiar";"PPS / PSL / PROS / PRTB / PSC";"N";18;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19038";"AGUIAR";"19038";"AGUIAR";66;13;"Vereador";"Coligação";17;"PSL";"Partido Social Liberal";150000000094;"Por um Novo Aguiar";"PPS / PSL / PROS / PRTB / PSC";"N";116;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19054";"ALAGOA GRANDE";"19054";"ALAGOA GRANDE";9;11;"Prefeito";"Coligação";40;"PSB";"Partido Socialista Brasileiro";150000000362;"A FORÇA DO TRABALHO";"PP / PSL / PPS / PMB / PSB / PEN / SD";"N";6704;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19054";"ALAGOA GRANDE";"19054";"ALAGOA GRANDE";9;11;"Prefeito";"Coligação";13;"PT";"Partido dos Trabalhadores";150000000371;"ALAGOA GRANDE UNIDA I";"PT / PR / PHS / PTC / PSDB";"N";1837;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19054";"ALAGOA GRANDE";"19054";"ALAGOA GRANDE";9;11;"Prefeito";"Coligação";55;"PSD";"Partido Social Democrático";150000000426;"MUDANÇA E TRABALHO";"PRB / PTB / PSD / PT do B";"N";7474;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19054";"ALAGOA GRANDE";"19054";"ALAGOA GRANDE";9;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";150000000407;"ALAGOA GRANDE UNIDA II";"PT / PR / PHS / PTC / PSDB";"N";69;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PB";"19054";"ALAGOA GRANDE";"19054";"ALAGOA GRANDE";9;13;"Vereador";"Coligação";36;"PTC";"Partido Trabalhista Cristão";150000000407;"ALAGOA GRANDE UNIDA II";"PT / PR / PHS / PTC / PSDB";"N";887;24
