"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PE";"26310";"ABREU E LIMA";"26310";"ABREU E LIMA";119;11;"Prefeito";"Coligação";12;"PDT";"Partido Democrático Trabalhista";170000000677;"COM O POVO PARA MUDAR";"PDT / PSDB / SD / PTB / PRB / PTN / PT do B / PTC";"N";21725;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PE";"26310";"ABREU E LIMA";"26310";"ABREU E LIMA";119;11;"Prefeito";"Coligação";40;"PSB";"Partido Socialista Brasileiro";170000001040;"FRENTE POPULAR DE ABREU E LIMA";"PRTB / PEN / PROS / PSL / REDE / PSDC / PRP / PC do B / PSB / PSD";"N";21839;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PE";"26310";"ABREU E LIMA";"26310";"ABREU E LIMA";119;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";170000000685;"PARA ABREU E LIMA VOLTAR A SORRIR";"PT / PMDB / PSC / PR / PPS / DEM / PHS / PMN / PMB / PV / PPL";"N";15489;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PE";"26310";"ABREU E LIMA";"26310";"ABREU E LIMA";119;13;"Vereador";"Coligação";54;"PPL";"Partido Pátria Livre";170000000997;"ABREU E LIMA DE TODOS";"PMN / PPL";"N";155;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PE";"26310";"ABREU E LIMA";"26310";"ABREU E LIMA";119;13;"Vereador";"Coligação";33;"PMN";"Partido da Mobilização Nacional";170000000997;"ABREU E LIMA DE TODOS";"PMN / PPL";"N";5300;110
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PE";"26310";"ABREU E LIMA";"26310";"ABREU E LIMA";119;13;"Vereador";"Coligação";25;"DEM";"Democratas";170000001134;"ABREU E LIMA DO FUTURO";"DEM / PR / PV / PSC";"N";2321;45
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PE";"26310";"ABREU E LIMA";"26310";"ABREU E LIMA";119;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";170000001134;"ABREU E LIMA DO FUTURO";"DEM / PR / PV / PSC";"N";180;13
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PE";"26310";"ABREU E LIMA";"26310";"ABREU E LIMA";119;13;"Vereador";"Coligação";43;"PV";"Partido Verde";170000001134;"ABREU E LIMA DO FUTURO";"DEM / PR / PV / PSC";"N";536;18
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PE";"26310";"ABREU E LIMA";"26310";"ABREU E LIMA";119;13;"Vereador";"Coligação";22;"PR";"Partido da República";170000001134;"ABREU E LIMA DO FUTURO";"DEM / PR / PV / PSC";"N";1343;379
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PE";"26310";"ABREU E LIMA";"26310";"ABREU E LIMA";119;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";170000000767;"COM O POVO E COM MUDANÇA";"PDT / PSDB / SD";"N";4645;1072
