"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PI";"12327";"ACAUÃ";"12327";"ACAUÃ";38;11;"Prefeito";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";180000000067;"Avança Acauã com a Força do Povo";"PTB / PRTB / PSB";"N";2391;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PI";"12327";"ACAUÃ";"12327";"ACAUÃ";38;11;"Prefeito";"Coligação";55;"PSD";"Partido Social Democrático";180000000303;"Trabalhando com o Povo e para o Povo";"PSD / PR / PT / SD / PV";"N";2541;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PI";"12327";"ACAUÃ";"12327";"ACAUÃ";38;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";180000000067;"Avança Acauã com a Força do Povo";"PTB / PRTB / PSB";"N";447;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PI";"12327";"ACAUÃ";"12327";"ACAUÃ";38;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";180000000067;"Avança Acauã com a Força do Povo";"PTB / PRTB / PSB";"N";364;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PI";"12327";"ACAUÃ";"12327";"ACAUÃ";38;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";180000000067;"Avança Acauã com a Força do Povo";"PTB / PRTB / PSB";"N";1322;64
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PI";"12327";"ACAUÃ";"12327";"ACAUÃ";38;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";180000000303;"Trabalhando com o Povo e para o Povo";"PSD / PR / PT / SD / PV";"N";1575;84
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PI";"12327";"ACAUÃ";"12327";"ACAUÃ";38;13;"Vereador";"Coligação";43;"PV";"Partido Verde";180000000303;"Trabalhando com o Povo e para o Povo";"PSD / PR / PT / SD / PV";"N";136;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PI";"12327";"ACAUÃ";"12327";"ACAUÃ";38;13;"Vereador";"Coligação";22;"PR";"Partido da República";180000000303;"Trabalhando com o Povo e para o Povo";"PSD / PR / PT / SD / PV";"N";0;14
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PI";"12327";"ACAUÃ";"12327";"ACAUÃ";38;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";180000000303;"Trabalhando com o Povo e para o Povo";"PSD / PR / PT / SD / PV";"N";436;18
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PI";"12327";"ACAUÃ";"12327";"ACAUÃ";38;13;"Vereador";"Coligação";77;"SD";"Solidariedade";180000000303;"Trabalhando com o Povo e para o Povo";"PSD / PR / PT / SD / PV";"N";474;8
