"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;11;"Prefeito";"Coligação";25;"DEM";"Democratas";160000001271;"A Humildade fez a Diferença";"PPS / DEM / PTB / PSDB / PROS";"N";1127;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;11;"Prefeito";"Coligação";12;"PDT";"Partido Democrático Trabalhista";160000001020;"ABATIA PARA TODOS";"PT / PP / PDT / PSD / PMDB";"N";3370;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;11;"Prefeito";"Partido isolado";31;"PHS";"Partido Humanista da Solidariedade";160000000554;"PARTIDO ISOLADO";"PHS";"N";534;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Coligação";25;"DEM";"Democratas";160000001271;"A Humildade fez a Diferença";"PPS / DEM / PTB / PSDB / PROS";"N";471;47
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";160000001271;"A Humildade fez a Diferença";"PPS / DEM / PTB / PSDB / PROS";"N";105;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";160000001271;"A Humildade fez a Diferença";"PPS / DEM / PTB / PSDB / PROS";"N";242;5
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";160000001271;"A Humildade fez a Diferença";"PPS / DEM / PTB / PSDB / PROS";"N";461;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";160000001271;"A Humildade fez a Diferença";"PPS / DEM / PTB / PSDB / PROS";"N";152;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";160000001020;"ABATIA PARA TODOS";"PT / PP / PDT / PSD / PMDB";"N";698;117
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";160000001020;"ABATIA PARA TODOS";"PT / PP / PDT / PSD / PMDB";"N";838;31
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";160000001020;"ABATIA PARA TODOS";"PT / PP / PDT / PSD / PMDB";"N";602;13
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";160000001020;"ABATIA PARA TODOS";"PT / PP / PDT / PSD / PMDB";"N";246;8
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";160000001020;"ABATIA PARA TODOS";"PT / PP / PDT / PSD / PMDB";"N";84;13
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74012";"ABATIÁ";"74012";"ABATIÁ";82;13;"Vereador";"Partido isolado";31;"PHS";"Partido Humanista da Solidariedade";160000000554;"PARTIDO ISOLADO";"PHS";"N";839;25
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74039";"ADRIANÓPOLIS";"74039";"ADRIANÓPOLIS";48;11;"Prefeito";"Coligação";12;"PDT";"Partido Democrático Trabalhista";160000002044;"ADRIANÓPOLIS MELHOR PARA O POVO";"PDT / PSDB / PMDB / PR / PEN / PSD / SD";"N";1331;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74039";"ADRIANÓPOLIS";"74039";"ADRIANÓPOLIS";48;11;"Prefeito";"Coligação";20;"PSC";"Partido Social Cristão";160000001177;"UNIÃO PELO PROGRESSO DE ADRIANÓPOLIS";"PSC / PT";"N";2900;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74039";"ADRIANÓPOLIS";"74039";"ADRIANÓPOLIS";48;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";160000002044;"ADRIANÓPOLIS MELHOR PARA O POVO";"PDT / PSDB / PMDB / PR / PEN / PSD / SD";"N";358;86
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"PR";"74039";"ADRIANÓPOLIS";"74039";"ADRIANÓPOLIS";48;13;"Vereador";"Coligação";51;"PEN";"Partido Ecológico Nacional";160000002044;"ADRIANÓPOLIS MELHOR PARA O POVO";"PDT / PSDB / PMDB / PR / PEN / PSD / SD";"N";10;0
