"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;11;"Prefeito";"Coligação";13;"PT";"Partido dos Trabalhadores";190000000369;"ALIANÇA PARA AVANÇAR";"PT / PV";"N";1360;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;11;"Prefeito";"Coligação";25;"DEM";"Democratas";190000000572;"ANGRA DEMOCRÁTICA E REPUBLICANA";"DEM / PRP";"N";831;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";190000000335;"ANGRA VAI VOLTAR A SORRIR";"PMDB / PP / SD / PMN / PTN / PROS / PTB / PSB / PSC / PEN / PHS / PPL / PSL / PMB";"N";35451;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";190000000577;"E POSSÍVEL";"PSDB / PSDC / PRTB";"N";1558;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;11;"Prefeito";"Partido isolado";23;"PPS";"Partido Popular Socialista";190000000205;"PARTIDO ISOLADO";"PPS";"N";1031;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;11;"Prefeito";"Partido isolado";10;"PRB";"Partido Republicano Brasileiro";190000000696;"PARTIDO ISOLADO";"PRB";"N";3566;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;11;"Prefeito";"Partido isolado";50;"PSOL";"Partido Socialismo e Liberdade";190000001151;"PARTIDO ISOLADO";"PSOL";"N";177;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;13;"Vereador";"Coligação";43;"PV";"Partido Verde";190000000369;"ALIANÇA PARA AVANÇAR";"PT / PV";"N";271;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";190000000369;"ALIANÇA PARA AVANÇAR";"PT / PV";"N";2480;105
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;13;"Vereador";"Coligação";25;"DEM";"Democratas";190000000572;"ANGRA DEMOCRÁTICA E REPUBLICANA";"DEM / PRP";"N";344;39
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;13;"Vereador";"Coligação";44;"PRP";"Partido Republicano Progressista";190000000572;"ANGRA DEMOCRÁTICA E REPUBLICANA";"DEM / PRP";"N";6;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;13;"Vereador";"Coligação";51;"PEN";"Partido Ecológico Nacional";190000000507;"ANGRA NA MENTE E NO CORAÇÃO";"PHS / PEN / PPL";"N";405;15
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";190000000507;"ANGRA NA MENTE E NO CORAÇÃO";"PHS / PEN / PPL";"N";1618;28
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;13;"Vereador";"Coligação";54;"PPL";"Partido Pátria Livre";190000000507;"ANGRA NA MENTE E NO CORAÇÃO";"PHS / PEN / PPL";"N";1802;15
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";190000001095;"ANGRA PODE MAIS";"PSDC / PRTB";"N";127;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;13;"Vereador";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";190000001095;"ANGRA PODE MAIS";"PSDC / PRTB";"N";553;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RJ";"58017";"ANGRA DOS REIS";"58017";"ANGRA DOS REIS";116;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";190000000148;"ANGRA VOLTANDO A SORRIR";"PTB / PTN";"N";566;19
