"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";200000000829;"COLIGAÇÃO FORÇA DO TRABALHO";"PMDB / DEM / PROS / PC do B / SD / PSB";"N";4123;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;11;"Prefeito";"Coligação";22;"PR";"Partido da República";200000000826;"UNIÃO E CORAGEM JUNTOS POR ACARI";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"N";3742;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";25;"DEM";"Democratas";200000000829;"COLIGAÇÃO FORÇA DO TRABALHO";"PMDB / DEM / PROS / PC do B / SD / PSB";"N";416;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";200000000829;"COLIGAÇÃO FORÇA DO TRABALHO";"PMDB / DEM / PROS / PC do B / SD / PSB";"N";18;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";200000000829;"COLIGAÇÃO FORÇA DO TRABALHO";"PMDB / DEM / PROS / PC do B / SD / PSB";"N";490;5
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";200000000829;"COLIGAÇÃO FORÇA DO TRABALHO";"PMDB / DEM / PROS / PC do B / SD / PSB";"N";0;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";200000000829;"COLIGAÇÃO FORÇA DO TRABALHO";"PMDB / DEM / PROS / PC do B / SD / PSB";"N";2979;162
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";77;"SD";"Solidariedade";200000000829;"COLIGAÇÃO FORÇA DO TRABALHO";"PMDB / DEM / PROS / PC do B / SD / PSB";"N";109;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";51;"PEN";"Partido Ecológico Nacional";200000000826;"UNIÃO E CORAGEM JUNTOS POR ACARI";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"N";685;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";200000000826;"UNIÃO E CORAGEM JUNTOS POR ACARI";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"N";0;5
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";10;"PRB";"Partido Republicano Brasileiro";200000000826;"UNIÃO E CORAGEM JUNTOS POR ACARI";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"N";216;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";200000000826;"UNIÃO E CORAGEM JUNTOS POR ACARI";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"N";1036;31
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";70;"PT do B";"Partido Trabalhista do Brasil";200000000826;"UNIÃO E CORAGEM JUNTOS POR ACARI";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"N";0;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";22;"PR";"Partido da República";200000000826;"UNIÃO E CORAGEM JUNTOS POR ACARI";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"N";1381;80
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";200000000826;"UNIÃO E CORAGEM JUNTOS POR ACARI";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"N";82;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16012";"ACARI";"16012";"ACARI";22;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";200000000826;"UNIÃO E CORAGEM JUNTOS POR ACARI";"PSDB / PR / PT / PSD / PRB / PEN / PT do B / PPS";"N";147;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16055";"AFONSO BEZERRA";"16055";"AFONSO BEZERRA";54;11;"Prefeito";"Coligação";19;"PTN";"Partido Trabalhista Nacional";200000000456;"CONTINUAR E PRECISO";"PP / PDT / PRTB / PSDB / SD / PV / PTB / PRP / PSD / PTN / PRB";"N";3870;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16055";"AFONSO BEZERRA";"16055";"AFONSO BEZERRA";54;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";200000000196;"UNIDOS PELO POVO";"PMDB / PSB / PR / DEM / PSDC / PT";"N";4291;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16055";"AFONSO BEZERRA";"16055";"AFONSO BEZERRA";54;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";200000000456;"CONTINUAR E PRECISO";"PP / PDT / PRTB / PSDB / SD / PV / PTB / PRP / PSD / PTN / PRB";"N";526;34
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16055";"AFONSO BEZERRA";"16055";"AFONSO BEZERRA";54;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";200000000456;"CONTINUAR E PRECISO";"PP / PDT / PRTB / PSDB / SD / PV / PTB / PRP / PSD / PTN / PRB";"N";110;30
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RN";"16055";"AFONSO BEZERRA";"16055";"AFONSO BEZERRA";54;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";200000000456;"CONTINUAR E PRECISO";"PP / PDT / PRTB / PSDB / SD / PV / PTB / PRP / PSD / PTN / PRB";"N";341;9
