"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";17;11;"Prefeito";"Coligação";11;"PP";"Partido Progressista";220000000437;"COMPROMISSO E TRANSPARENCIA";"PP / PSB / DEM / PTB / PSDB / PSD / PR / PC do B / PMN / PT / PSDC / PSC";"N";9553;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";17;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";220000000440;"Frente Popular";"PMDB / PRB / PDT / PV / SD";"N";3638;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";17;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";220000000441;"PMDB, PDT, SD";"PMDB / PDT / SD";"N";1214;59
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";17;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";220000000441;"PMDB, PDT, SD";"PMDB / PDT / SD";"N";821;160
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";17;13;"Vereador";"Coligação";77;"SD";"Solidariedade";220000000441;"PMDB, PDT, SD";"PMDB / PDT / SD";"N";755;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";17;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";220000000442;"PRIORIZANDO NOSSO POVO";"PSC / PC do B / PMN / PSD";"N";990;36
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";17;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";220000000442;"PRIORIZANDO NOSSO POVO";"PSC / PC do B / PMN / PSD";"N";261;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";17;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";220000000442;"PRIORIZANDO NOSSO POVO";"PSC / PC do B / PMN / PSD";"N";261;18
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";17;13;"Vereador";"Coligação";33;"PMN";"Partido da Mobilização Nacional";220000000442;"PRIORIZANDO NOSSO POVO";"PSC / PC do B / PMN / PSD";"N";705;12
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";17;13;"Vereador";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";220000000439;"RENOVAR É PRECISO";"PSDC / PT";"N";1641;31
