"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;11;"Prefeito";"Coligação";55;"PSD";"Partido Social Democrático";230000000218;"ALTO ALEGRE UNIDO PARA VOLTAR A CRESCER";"PMDB / PTN / PSDC / PTC / SD / PSDB / PSD";"N";4616;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;11;"Prefeito";"Coligação";22;"PR";"Partido da República";230000000232;"UNIDOSPOR ALTO ALEGRE";"PR / PP / PRB / PDT";"N";3385;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;11;"Prefeito";"Partido isolado";25;"DEM";"Democratas";230000000168;"PARTIDO ISOLADO";"DEM";"N";266;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";230000000220;"ALTO ALEGRE UNIDO PARA VOLTAR A CRESCER";"PMDB / PTN / PSDC / PTC / PSDB / PSD / SD";"N";24;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";230000000220;"ALTO ALEGRE UNIDO PARA VOLTAR A CRESCER";"PMDB / PTN / PSDC / PTC / PSDB / PSD / SD";"N";579;141
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";36;"PTC";"Partido Trabalhista Cristão";230000000220;"ALTO ALEGRE UNIDO PARA VOLTAR A CRESCER";"PMDB / PTN / PSDC / PTC / PSDB / PSD / SD";"N";158;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";230000000220;"ALTO ALEGRE UNIDO PARA VOLTAR A CRESCER";"PMDB / PTN / PSDC / PTC / PSDB / PSD / SD";"N";498;10
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";230000000220;"ALTO ALEGRE UNIDO PARA VOLTAR A CRESCER";"PMDB / PTN / PSDC / PTC / PSDB / PSD / SD";"N";0;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";230000000220;"ALTO ALEGRE UNIDO PARA VOLTAR A CRESCER";"PMDB / PTN / PSDC / PTC / PSDB / PSD / SD";"N";0;16
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";77;"SD";"Solidariedade";230000000220;"ALTO ALEGRE UNIDO PARA VOLTAR A CRESCER";"PMDB / PTN / PSDC / PTC / PSDB / PSD / SD";"N";412;6
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";51;"PEN";"Partido Ecológico Nacional";230000000194;"JUNTOS SOMOS MAIS FORTE";"PEN / PHS / PSC / PSB";"N";2922;30
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";230000000194;"JUNTOS SOMOS MAIS FORTE";"PEN / PHS / PSC / PSB";"N";178;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";230000000194;"JUNTOS SOMOS MAIS FORTE";"PEN / PHS / PSC / PSB";"N";578;13
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";230000000194;"JUNTOS SOMOS MAIS FORTE";"PEN / PHS / PSC / PSB";"N";397;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";3;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";230000000234;"UNIDOS POR ALTO ALEGRE 2";"PR / PP / PRB / PDT";"N";488;4
