"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;11;"Prefeito";"Coligação";11;"PP";"Partido Progressista";210000002374;"A NOVA OPÇÃO";"PP / DEM";"N";805;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;11;"Prefeito";"Partido isolado";45;"PSDB";"Partido da Social Democracia Brasileira";210000002488;"PARTIDO ISOLADO";"PSDB";"N";1594;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;11;"Prefeito";"Partido isolado";15;"PMDB";"Partido do Movimento Democrático Brasileiro";210000002573;"PARTIDO ISOLADO";"PMDB";"N";658;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;11;"Prefeito";"Partido isolado";13;"PT";"Partido dos Trabalhadores";210000002660;"PARTIDO ISOLADO";"PT";"N";173;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;13;"Vereador";"Coligação";25;"DEM";"Democratas";210000002374;"A NOVA OPÇÃO";"PP / DEM";"N";110;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";210000002374;"A NOVA OPÇÃO";"PP / DEM";"N";399;27
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";210000002489;"PSDB/PDT/PSB";"PSDB / PDT / PSB";"N";289;9
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";210000002489;"PSDB/PDT/PSB";"PSDB / PDT / PSB";"N";0;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;13;"Vereador";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";210000002489;"PSDB/PDT/PSB";"PSDB / PDT / PSB";"N";926;74
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;13;"Vereador";"Partido isolado";15;"PMDB";"Partido do Movimento Democrático Brasileiro";210000002573;"PARTIDO ISOLADO";"PMDB";"N";1177;48
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"88986";"ACEGUÁ";"88986";"ACEGUÁ";7;13;"Vereador";"Partido isolado";13;"PT";"Partido dos Trabalhadores";210000002660;"PARTIDO ISOLADO";"PT";"N";128;20
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"85014";"AGUDO";"85014";"AGUDO";119;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";210000001004;"AGUDO PODE AINDA MAIS";"PMDB / PDT / PT";"N";6241;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"85014";"AGUDO";"85014";"AGUDO";119;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";210000001504;"NOVOS TEMPOS PARA AGUDO";"PSDB / PP / DEM";"N";4679;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"85014";"AGUDO";"85014";"AGUDO";119;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";210000001004;"AGUDO PODE AINDA MAIS";"PMDB / PDT / PT";"N";1005;37
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"85014";"AGUDO";"85014";"AGUDO";119;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";210000001004;"AGUDO PODE AINDA MAIS";"PMDB / PDT / PT";"N";4618;274
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"85014";"AGUDO";"85014";"AGUDO";119;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";210000001004;"AGUDO PODE AINDA MAIS";"PMDB / PDT / PT";"N";704;19
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"RS";"85014";"AGUDO";"85014";"AGUDO";119;13;"Vereador";"Coligação";25;"DEM";"Democratas";210000001504;"NOVOS TEMPOS PARA AGUDO";"PSDB / PP / DEM";"N";293;16
