"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;11;"Prefeito";"Coligação";40;"PSB";"Partido Socialista Brasileiro";260000000340;"CONSTRUINDO O FUTURO COM A NOSSA GENTE";"PMDB / PPS / REDE / PSB";"N";825;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;11;"Prefeito";"Coligação";22;"PR";"Partido da República";260000000022;"O FUTURO SE CONSTRÓI COM ATITUDE";"PR / PTB / PP / PT / PTN / PHS / PTC / PEN / PSD / PC do B / PSC";"N";1497;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;11;"Prefeito";"Partido isolado";12;"PDT";"Partido Democrático Trabalhista";260000000237;"PARTIDO ISOLADO";"PDT";"N";12;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;13;"Vereador";"Coligação";23;"PPS";"Partido Popular Socialista";260000000340;"CONSTRUINDO O FUTURO COM A NOSSA GENTE";"PMDB / PPS / REDE / PSB";"N";28;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";260000000340;"CONSTRUINDO O FUTURO COM A NOSSA GENTE";"PMDB / PPS / REDE / PSB";"N";490;24
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";260000000340;"CONSTRUINDO O FUTURO COM A NOSSA GENTE";"PMDB / PPS / REDE / PSB";"N";65;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;13;"Vereador";"Coligação";18;"REDE";"Rede Sustentabilidade";260000000340;"CONSTRUINDO O FUTURO COM A NOSSA GENTE";"PMDB / PPS / REDE / PSB";"N";125;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;13;"Vereador";"Coligação";65;"PC do B";"Partido Comunista do Brasil";260000000023;"O FUTURO SE CONSTRÓI COM ATITUDE 1";"PR / PTB / PSD / PP / PHS / PTC / PC do B / PEN / PT / PTN";"N";184;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;13;"Vereador";"Coligação";51;"PEN";"Partido Ecológico Nacional";260000000023;"O FUTURO SE CONSTRÓI COM ATITUDE 1";"PR / PTB / PSD / PP / PHS / PTC / PC do B / PEN / PT / PTN";"N";79;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;13;"Vereador";"Coligação";31;"PHS";"Partido Humanista da Solidariedade";260000000023;"O FUTURO SE CONSTRÓI COM ATITUDE 1";"PR / PTB / PSD / PP / PHS / PTC / PC do B / PEN / PT / PTN";"N";0;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";25;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";260000000023;"O FUTURO SE CONSTRÓI COM ATITUDE 1";"PR / PTB / PSD / PP / PHS / PTC / PC do B / PEN / PT / PTN";"N";243;8
