"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;11;"Prefeito";"Coligação";43;"PV";"Partido Verde";270000000279;"POR UMA ABREULÂNDIA MELHOR";"PV / PR";"N";857;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;11;"Prefeito";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";270000000740;"UNIDOS POR ABREULÂNDIA";"PMDB / PTB";"N";605;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;11;"Prefeito";"Coligação";40;"PSB";"Partido Socialista Brasileiro";270000000713;"UNIDOS VENCEREMOS";"PDT / PT / PSC / DEM / PSB / PRP / PSD / PRTB";"N";303;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";43;"PV";"Partido Verde";270000000279;"POR UMA ABREULÂNDIA MELHOR";"PV / PR";"N";515;21
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";22;"PR";"Partido da República";270000000279;"POR UMA ABREULÂNDIA MELHOR";"PV / PR";"N";131;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";270000000740;"UNIDOS POR ABREULÂNDIA";"PMDB / PTB";"N";140;2
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";270000000740;"UNIDOS POR ABREULÂNDIA";"PMDB / PTB";"N";336;47
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";25;"DEM";"Democratas";270000000713;"UNIDOS VENCEREMOS";"PDT / PT / PSC / DEM / PSB / PRP / PSD / PRTB";"N";26;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";270000000713;"UNIDOS VENCEREMOS";"PDT / PT / PSC / DEM / PSB / PRP / PSD / PRTB";"N";7;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";270000000713;"UNIDOS VENCEREMOS";"PDT / PT / PSC / DEM / PSB / PRP / PSD / PRTB";"N";179;12
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";44;"PRP";"Partido Republicano Progressista";270000000713;"UNIDOS VENCEREMOS";"PDT / PT / PSC / DEM / PSB / PRP / PSD / PRTB";"N";56;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";20;"PSC";"Partido Social Cristão";270000000713;"UNIDOS VENCEREMOS";"PDT / PT / PSC / DEM / PSB / PRP / PSD / PRTB";"N";175;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";270000000713;"UNIDOS VENCEREMOS";"PDT / PT / PSC / DEM / PSB / PRP / PSD / PRTB";"N";1;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";270000000713;"UNIDOS VENCEREMOS";"PDT / PT / PSC / DEM / PSB / PRP / PSD / PRTB";"N";2;7
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73008";"ABREULÂNDIA";"73008";"ABREULÂNDIA";7;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";270000000713;"UNIDOS VENCEREMOS";"PDT / PT / PSC / DEM / PSB / PRP / PSD / PRTB";"N";117;4
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73512";"AGUIARNÓPOLIS";"73512";"AGUIARNÓPOLIS";9;11;"Prefeito";"Coligação";11;"PP";"Partido Progressista";270000000555;"COLIGAÇÃO O FUTURO COMEÇA AGORA";"DEM / PP / PV / PSDB / PPL";"N";1286;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73512";"AGUIARNÓPOLIS";"73512";"AGUIARNÓPOLIS";9;11;"Prefeito";"Coligação";10;"PRB";"Partido Republicano Brasileiro";270000000289;"COLIGAÇÃO UNIDOS SOMOS FORTES";"PRB / PDT / PMDB / PR / PSB / PSD / PT / PTB";"N";1948;0
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73512";"AGUIARNÓPOLIS";"73512";"AGUIARNÓPOLIS";9;13;"Vereador";"Coligação";25;"DEM";"Democratas";270000000555;"COLIGAÇÃO O FUTURO COMEÇA AGORA";"DEM / PP / PV / PSDB / PPL";"N";111;3
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73512";"AGUIARNÓPOLIS";"73512";"AGUIARNÓPOLIS";9;13;"Vereador";"Coligação";11;"PP";"Partido Progressista";270000000555;"COLIGAÇÃO O FUTURO COMEÇA AGORA";"DEM / PP / PV / PSDB / PPL";"N";572;41
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73512";"AGUIARNÓPOLIS";"73512";"AGUIARNÓPOLIS";9;13;"Vereador";"Coligação";54;"PPL";"Partido Pátria Livre";270000000555;"COLIGAÇÃO O FUTURO COMEÇA AGORA";"DEM / PP / PV / PSDB / PPL";"N";34;1
"28/05/2021";"16:58:19";"2016";2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"TO";"73512";"AGUIARNÓPOLIS";"73512";"AGUIARNÓPOLIS";9;13;"Vereador";"Coligação";43;"PV";"Partido Verde";270000000555;"COLIGAÇÃO O FUTURO COMEÇA AGORA";"DEM / PP / PV / PSDB / PPL";"N";195;6
